tex_line,original_english,original_chinese,proposed_chinese,proposed_english,assessment
44,"Under conditionally independent honest labels and a common view, the honest mode on three models is certified at the classical budget with mean probability 0.84 even when only final answers are compared; at the human-judged grain of the decisive operation this coverage is only bounded, between 0.06 and 0.79.",在诚实标签条件独立且视图共同的条件下，三个模型在经典故障预算下，即使仅比较最终答案，诚实众数的平均认证概率也为 0.84；人工决定性运算粒度的覆盖率只能界定在 0.06–0.79。,在诚实标签条件独立且视图共同的条件下，完整共同任务集上的答案粒度覆盖率为 0.843；在 24 个选定模型–任务单元的补充人工划分实验中，答案加运算粒度的代入覆盖率为 0.477（描述性 95% 单元 bootstrap 区间 0.319–0.644），同一子集的答案粒度为 0.843。,"Under conditionally independent honest labels and a common view, answer-grain coverage at the classical budget is 0.843 on the full common set; a supplementary partition study of 24 selected model--task cells estimates answer+operation plug-in coverage at 0.477 (descriptive 95% cell-bootstrap interval 0.319--0.644), against 0.843 at the answer grain on the same subset.",必须改。把“仅有界”更新为受限样本的直接估计，并避免把子集结果当作完整共同集结论。摘要偏长，可把区间留到正文。
73,"At $n=10$, $f=3$ the honest mode is certified with mean per-task probability $0.843$ even at the answer grain; at the human decisive-operation grain this coverage is only bounded, between $0.06$ and $0.79$, and the $0.004$ obtained with exact string matching is mostly an instrument artefact.",在 n=10、f=3 时，答案粒度的平均每任务认证概率为 0.843；人工决定性运算粒度只能界定在 0.06–0.79，而精确字符串匹配所得 0.004 主要是仪器伪影。,在 n=10、f=3 时，完整共同集的答案粒度覆盖率为 0.843。补充划分实验的同一 24 单元中，答案、答案加运算和词法粒度的代入覆盖率分别为 0.843、0.477 和 0.00142，表明词法匹配夸大了人工运算粒度的下降。,"At $n=10$, $f=3$, answer-grain coverage on the full common set is $0.843$. In the supplementary 24-cell partition study, plug-in coverage is $0.843$, $0.477$ and $0.00142$ at the answer, answer+operation and lexical grains, respectively, showing that lexical matching exaggerates the reduction observed under human operation grouping.",必须改。三数全部使用同一子集；0.004 仍可在完整集实验处保留。证据与措辞匹配，不暗示人工粒度也接近归零。
90,We call the two measured partitions the \emph{answer grain} and the \emph{lexical grain}.,我们将两种测量的划分称为答案粒度和词法粒度。,主要自动化实验采用答案和词法划分；补充人工实验将运算共识连通分量与归一化答案类别取交集，定义答案加运算划分，保留原始运算分组作为敏感性结果。,The main automated experiments use the answer and lexical partitions. The supplementary human study defines an answer+operation partition by intersecting majority-connected operation components with normalised answer classes; operation-only results are retained as a sensitivity analysis.,必须改。指南允许不同答案共用运算组，纯运算划分不是答案划分的细化；必须显式定义与理论一致的联合粒度。这是分析修正，不能声称原脚本事先已实现。
244,"\textbf{Bounding certification at the decisive-operation grain.} Pairwise rates still bound the certificate. If the human relation is a partition that refines the answer partition, each model--task law satisfies $A_r(2)\le r_{\max}\le\pmaxx$ and $r_{\max}^2\le A_r(2)$, where $r_{\max}$ is the modal mass at the decisive-operation grain and $\pmaxx$ that at the answer grain. At $n=3f+1$ the coverage $r_{\max}^{h}$ therefore lies between $A_r(2)^h$ and $\pmaxx^{h-2}A_r(2)$, and both are estimable from same-model calibration pairs (Appendix~\ref{app:calib}). At $n=10$, $f=3$ this gives $[0.06,0.79]$ (outer 95\% limits $[0.02,0.87]$), against $0.843$ at the answer grain and $0.004$ lexically. If humans split every answer class in the same proportion, the coverage is at most $0.23$--$0.55$. Applied to answer equality, the estimator gives $[0.67,0.86]$, which contains the exact $0.843$.",决定性运算粒度的覆盖率：假设人工关系构成答案划分的细化，由 A_r(2)≤r_max≤p_max 和 r_max²≤A_r(2) 导出覆盖率上下界。n=10、f=3 时为 0.06–0.79（外侧 95% 界 0.02–0.87），对比答案 0.843 和词法 0.004；同质拆分假设给上限 0.23–0.55；答案自检区间包含 0.843。,决定性运算粒度的测量：早期逐对标注在细化假设下给出了 0.06–0.79 的覆盖率界。补充研究对 24 单元各 12 条回复进行直接分组，并与答案类别取交集。n=10、f=3 时，该子集答案加运算覆盖率为 0.477（描述性区间 0.319–0.644），答案为 0.843、词法为 0.00142。剔除多数判为模糊的回复后为 0.535；三人分组与答案类别全交集为 0.387。新旧研究样本与估计对象不同，不能把新值当作完整共同集上下界的精确替代。,"\textbf{Measuring certification at the decisive-operation grain.} The earlier pairwise study bounded coverage by $[0.06,0.79]$ under a refinement assumption (Appendix~\ref{app:calib}). A supplementary study directly groups 12 replies in each of 24 selected model--task cells and intersects operation components with answer classes. At $n=10$, $f=3$, answer+operation plug-in coverage on this subset is $0.477$ (descriptive 95\% cell-bootstrap interval $[0.319,0.644]$), versus $0.843$ for answers and $0.00142$ lexically. Dropping majority-vague replies gives $0.535$; intersecting all three annotator partitions with answer classes gives $0.387$. These studies use different samples and estimands, so the subset estimate does not replace the full-frame bounds.",必须改。正文直接报告补充测量，旧界移作背景而非删除。保留敏感性；删去正文的同质假设上限可减少篇幅，附录继续保留。
260,"The answer+KEY partition is lexical. Calibration shows the lexical rule splits $97\%$ (weighted) of resolved pairs judged equivalent on both the answer and decisive-operation axes, so the lexical activation and certification numbers measure dispersion under a stated instrument, not semantic dispersion. The defensible fine-grained claims are the ordering of Proposition~\ref{prop:refine}, the instrument disagreement of \S\ref{sec:q3}, the human pairwise range $[0.67,0.85]$ and the coverage bounds it implies. The decisive-operation grain is bounded, not measured: the $f=3$ coverage interval $[0.06,0.79]$ is wide, no automatic instrument we tested recovers the relation, and humans agree on it only moderately ($\kappa=0.532$; $24\%$ of weighted pairs unresolved, $18$--$36\%$ across subsets). The bounds also assume that the human relation is a partition. Appendix~\ref{app:limits} covers routes to measuring it and further limits.",答案加 KEY 是词法粒度；它拆分了人工认可等价对中的 97%。可辩护的细粒度结论是细化排序、仪器分歧、人工逐对区间及其覆盖率界。决定性运算粒度尚未测量，0.06–0.79 的覆盖率界很宽，自动仪器未恢复该关系，人工一致性仅中等；上下界也假设人工关系是划分。,词法数字测量的是指定字符串仪器下的离散度。新的答案加运算划分为选定 24 单元提供直接估计，但依赖仅 12 条回复、共识构造与有限样本。运算分组平均 ARI 为 0.523；多数票关系的传递闭包在 5 单元新增 27 对合并。这些限制禁止把 0.477 当作完整共同集或客观推理等价的精确测量。,"The answer+KEY partition remains lexical: its activation and certification values measure dispersion under a string instrument. The new answer+operation partitions provide direct estimates on 24 selected cells, conditional on 12 replies per cell and the consensus construction. Mean operation-partition ARI is $0.523$, and transitive closure adds 27 co-assigned pairs in five cells beyond direct majority support. These limitations preclude interpreting $0.477$ as exact full-set coverage or as a measurement of objective reasoning equivalence.",必须改。旧“尚未测量”已过时，但不能改成“已经可靠解决”。ARI 与此前 Fleiss κ 不是同一指标；27 对是闭包诊断，不是证明标注错误。
263,"at $n=10$, $f=3$, even at the answer grain certification holds with mean per-task probability $0.843$, and at the human decisive-operation grain it is only bounded, between $0.06$ and $0.79$.",在 n=10、f=3 时，答案粒度平均每任务认证概率为 0.843，而人工决定性运算粒度只能界定在 0.06–0.79。,在 n=10、f=3 时，完整共同集的答案粒度覆盖率为 0.843；补充人工划分子集的答案加运算覆盖率为 0.477，表明即使剔除词法过度拆分的影响，认证覆盖率仍有下降。,"at $n=10$, $f=3$, answer-grain coverage is $0.843$ on the full common set, while the supplementary human-partition subset gives answer+operation coverage of $0.477$, showing a reduction that persists after accounting for lexical over-splitting.",必须改。结论聚焦方向性证据，保留子集限定；不声称反驳或证明任意协议的容错能力。
299,"The honest law is the plug-in multinomial from about $30$ replies; Table~\ref{tab:e5} reports a split-half sensitivity check, which evaluates the class selected on the training half rather than the full-sample empirical mode.",诚实标签律是基于约 30 条回复的代入多项分布；表 e5 给出 split-half 敏感性检查，评估的是训练半样本选出的类别，而非全样本经验众数。,完整共同集模拟采用约 30 条回复的代入多项分布；split-half 检查仍评估训练半样本选择的类别。独立 R1b 子集分析每单元仅有 12 条已标注回复，使用 r_max 的 h 次方闭式计算指定众数覆盖率。,"For the full-common-set simulations, the honest law is the plug-in multinomial from about $30$ replies; Table~\ref{tab:e5} reports a split-half sensitivity check that evaluates the class selected on the training half rather than the full-sample empirical mode. The separate R1b subset analysis uses 12 annotated replies per cell and computes designated-mode coverage directly as $r_{\max}^{h}$.",建议改。区分完整集 Monte Carlo 与 R1b 的闭式计算，避免读者误以为人工划分也有约 30 条回复或经历相同模拟；原敏感性数字与方法保留。
357,"Stronger models converge on \emph{what} to answer, not on how they state \emph{why}.",更强的模型在回答什么上趋同，而不是在如何陈述为什么上趋同。,较强模型在答案粒度有更高的碰撞率，而词法 KEY 碰撞率仍较低；这些测量本身不能确定决定性运算的趋同程度。,Stronger models have higher answer-grain collision rates while lexical KEY collisions remain rare; these measurements alone do not establish how strongly decisive operations converge.,建议改。原句虽强调“陈述”，仍容易被读作推理不趋同。补充分组显示大量运算等价，弱化该推论更严谨；不能根据每模型不同任务的 8 单元均值推断能力效应。
484,"they do not recover a partition, $\pmaxx$ or $A(h)$ for $h\ge3$; they do bound certification coverage, as follows.",这些逐对估计不能恢复划分、p_max 或 h≥3 的 A(h)，但能给认证覆盖率提供界，如下所述。,早期逐对估计本身不恢复划分、p_max 或 h≥3 的 A(h)，但能给覆盖率提供界；独立的 R1b 直接分组研究在下文为有限子集提供划分估计。,"the pairwise estimates alone do not recover a partition, $\pmaxx$ or $A(h)$ for $h\ge3$, but they bound coverage as follows; a separate R1b grouping study below supplies partition estimates for a limited subset.",建议改。逐对标注的数学局限仍成立，补充分组并没有推翻它；新增实验与旧估计须分开。
488,"\caption{Designated-mode coverage at $n=3f+1$ ($h=2f+1$) under the human answer+operation relation: bounds from same-model calibration pairs (95\% outer limits in brackets), the homogeneous within-answer-class estimate, and the exact answer-grain value.}",在人工答案加运算关系下 n=3f+1、h=2f+1 的指定众数覆盖率：同模型校准对的界、同质答案内估计与答案粒度精确值。,早期逐对校准给出的覆盖率界（含外侧 95% 界）及附加同质假设下的估计；答案列是完整共同集经验代入法下的参考值。后续 R1b 子集的直接划分结果单独报告。,"\caption{Earlier pairwise-calibration bounds on designated-mode coverage at $n=3f+1$ ($h=2f+1$), with 95\% outer limits in brackets and estimates under an additional within-answer homogeneity assumption. The answer column is the empirical plug-in reference on the full common set; direct R1b subset estimates are reported separately.}",建议改。原表数字保留；明确“精确”仅相对于经验分布，避免读者把旧界和新子集当同一估计对象。
513,"Two routes could make the decisive-operation grain measurable: a Dawid--Skene latent-class model fusing instruments of known error direction around a small human anchor, and premise-versus-conclusion judgment aggregation \citep{list2002}, whose impossibility results help explain why operation-level consensus resists definition.",两条路线可能使决定性运算粒度可测：围绕少量人工锚点融合仪器的 Dawid–Skene 潜在类别模型，以及前提与结论的判断聚合；其不可能性结果帮助解释运算共识难以定义。,R1b 对有限子集通过人工直接分组测量了答案加运算划分；推广还需要更多单元与回复、独立性文档，以及对共识聚合规则的敏感性检查。潜在类别融合和前提与结论的判断聚合仍可作为未来研究方向，而非本研究已验证的方法。,"R1b measures an answer+operation partition on a limited subset through direct human grouping. Generalisation requires more cells and replies, documentation of annotator independence, and sensitivity checks for consensus aggregation. Latent-class instrument fusion and premise-versus-conclusion judgment aggregation \citep{list2002} remain possible research directions rather than validated solutions in this study.",必须改。把“未来才能测量”改为“已有限测量、推广仍有条件”。不能根据三个文件推断标注者彼此独立。
539,"(1) grain and instrument & answer vs.\ answer+KEY; normaliser, lexical rule, embedding, judges & the same replies give coverage $0.843$ or $0.004$\\",清单第 1 项：粒度及仪器。答案与答案加 KEY；归一化器、词法规则、嵌入与评判模型；遗漏会导致同样回复给出 0.843 或 0.004 的覆盖率。,清单第 1 项：粒度及仪器。答案、答案加 KEY 和 R1b 答案加运算；同一 R1b 回复子集给出的覆盖率分别为 0.843、0.00142、0.477。,"(1) grain and instrument & answer, answer+KEY, R1b answer+operation & the same R1b replies give coverage $0.843$, $0.00142$, $0.477$\\",建议改。清单展示三种粒度与同一回复比较，更能服务中心论点；相邻其他完整集行可保留并标明各自样本。
