task	item	answer	key	group	vague	note
T01	T01-R01	44 hours	Calculate articles per day and multiply total by 4 hours	G1		
T01	T01-R02	44 hours	Calculate total articles and multiply by hours per article	G1		
T01	T01-R03	44	"Sum articles over three days, multiply by 4 hours"	G1		
T01	T01-R04	104 hours	Sum articles and multiply by 4 hours per article	G1		
T01	T01-R05	104	Sum of articles over three days times hours per article	G1		
T01	T01-R06	44 hours	Sum articles and multiply by 4 hours per article	G1		
T01	T01-R07	44 hours	Sum articles over three days and multiply by 4 hours	G1		
T01	T01-R08	104 hours	"Sum articles for three days, multiply by 4 hours per article"	G1		
T01	T01-R09	44	Total articles * hours per article	G1		
T01	T01-R10	44 hours	Sum of articles multiplied by hours per article	G1		
T01	T01-R11	44 hours	Sum articles and multiply by hours per article	G1		
T01	T01-R12	104 hours	Sum of articles times hours per article	G1		
T02	T02-R01	10	Calculate selling price and cost of new rope.	G1		
T02	T02-R02	10	Revenue minus cost of new rope	G1		
T02	T02-R03	10	Calculate profit from rope sale.	G1		unsure
T02	T02-R04	10	Profit minus cost of new rope	G2		
T02	T02-R05	10	Subtract new rope cost from sale price.	G1		
T02	T02-R06	10	Profit after selling rope	G1		unsure
T02	T02-R07	$10 	Subtract cost of new rope from earnings	G1		
T02	T02-R08	1	Profit from sale minus new rope cost	G2		
T02	T02-R09	10	Total earnings minus total cost	G1		
T02	T02-R10	10	Subtract new rope cost from earnings	G1		
T02	T02-R11	10 dollars	Subtract cost of new rope from selling price	G1		
T02	T02-R12	10	Profit after selling rope minus new cost	G2		
T03	T03-R01	16	Compare total eggs to total tray capacity	G2		
T03	T03-R02	16	Calculate eggs over tray capacity	G1		unsure
T03	T03-R03	16	Subtract total tray capacity from total eggs	G1		
T03	T03-R04	16	Calculate total capacity then subtract from total eggs	G1		
T03	T03-R05	16	Calculate eggs exceeding tray capacity	G1		unsure
T03	T03-R06	16	Total capacity minus eggs gives leftover eggs	G1		
T03	T03-R07	16	Subtract total tray capacity from total eggs	G1		
T03	T03-R08	16	Calculate total tray capacity and subtract from eggs.	G1		
T03	T03-R09	16	Subtract total tray capacity from total eggs	G1		
T03	T03-R10	16	Subtract total tray capacity from total eggs	G1		
T03	T03-R11	16	Subtract total capacity from total eggs	G1		
T03	T03-R12	16	Subtract total tray capacity from total eggs	G1		
T04	T04-R01	27	Total marbles minus Dallas's initial marbles	G1		
T04	T04-R02	27	Solved for Darla's marbles using total minus Dallas's initial amount	G1		
T04	T04-R03	27	Total marbles minus Dallas's initial amount	G1		
T04	T04-R04	27	Mazie gave Darla 27 marbles		Y	
T04	T04-R05	27	Total distributed marbles equal initial total minus Dallas's remaining after dropping	G2		
T04	T04-R06	27	Darlac received 27 marbles		Y	
T04	T04-R07	27	Subtract Dallas's marbles from total to find Darla's marbles	G1		unsure
T04	T04-R08	27	Marbles given to Dallas before dropping 4	G1		
T04	T04-R09	27	Total marbles minus Dallas's initial marbles	G1		
T04	T04-R10	27	Subtract Dallas's marbles (before dropping) from total marbles given out	G1		
T04	T04-R11	27	Remainder after distributing marbles to Dallas	G1		unsure
T04	T04-R12	27	Sum distributed equals total minus Dallas's initial.	G1		
T05	T05-R01	6	12 groups need more students.	G2		
T05	T05-R02	6	12 groups needed minus 6 groups formed	G1		
T05	T05-R03	6	Required groups minus current groups	G1		
T05	T05-R04	6	12 required minus 6 formed equals 6 more groups.	G1		
T05	T05-R05	6	Additional groups required are 6		Y	
T05	T05-R06	6	6 groups needed to meet requirements		Y	
T05	T05-R07	6	"12 required, but 6 possible"	G3		
T05	T05-R08	6	Calculate additional groups needed.	G4		
T05	T05-R09	6	"Need 12 groups total, have 6 groups now."	G2		unsure
T05	T05-R10	6	Calculate deficit of groups required.	G4		
T05	T05-R11	6	12 required groups minus 6 existing groups	G1		
T05	T05-R12	6	"12 required, only 6 can be formed."	G3+D62:D75		
T06	T06-R01	34	Sum red + blue + yellow sticks	G1		
T06	T06-R02	34	Calculate each color then sum total sticks	G1		
T06	T06-R03	34	"Calculate total by summing red, blue, yellow sticks"	G1		
T06	T06-R04	34	"Summed red, blue, and yellow sticks calculated from given relations"	G1		
T06	T06-R05	34	Calculate and sum all stick counts	G1		unsure
T06	T06-R06	34	Calculate each color then sum all sticks	G1		
T06	T06-R07	34	Calculate blue sticks from red sticks first	G2		
T06	T06-R08	34	Calculate each color then sum all sticks	G1		
T06	T06-R09	34	Calculate each color and sum total sticks	G1		
T06	T06-R10	34	"Add red, blue, and yellow sticks totals"	G1		
T06	T06-R11	34	Calculate sticks color-by-color and sum	G1		
T06	T06-R12	34	Calculate each color based on given relationships	G3		
T07	T07-R01	4 pounds	Total candy divided equally among three people	G1		
T07	T07-R02	4 pounds	Total candy divided by three people	G1		
T07	T07-R03	4 pounds	Total candy divided by 3 people	G1		
T07	T07-R04	4 pounds	Total candy divided by number of people	G1		
T07	T07-R05	4 pounds	Total divided equally among three friends	G1		
T07	T07-R06	4 pounds	Total candy divided equally among three persons	G1		
T07	T07-R07	4 pounds	Total candy divided by number of people	G1		
T07	T07-R08	4 pounds	Total candy divided by three people	G1		
T07	T07-R09	4 pounds	Total candy divided by number of people	G1		
T07	T07-R10	4 pounds	Total candy divided equally among three people	G1		
T07	T07-R11	4 pounds	Total candy divided equally among three people	G1		
T07	T07-R12	4 pounds	Total divided equally among three people	G1		
T08	T08-R01	5 hours	Calculate time using speed formula	G1		
T08	T08-R02	5 hours	Time = Distance / Speed	G1		
T08	T08-R03	5	"Calculate speed first, then time."	G1		
T08	T08-R04	5	Calculate time using speed formula.	G1		
T08	T08-R05	5 hours	2000 miles at 400 mph takes 5 hours	G1		
T08	T08-R06	5 hours	Time = Distance / Speed	G1		
