tex_line,original_english,original_chinese,proposed_chinese,proposed_english,assessment
44,"at the human-judged grain of the decisive operation this coverage is only bounded, between 0.06 and 0.79.",在人工评定的决定性运算粒度下，该覆盖率只能界定在 0.06–0.79 之间。,在人工评定的决定性运算粒度下，标注任务上的覆盖率估计为 0.48。,"at the human-judged grain of the decisive operation, coverage is estimated at 0.48 on the annotated tasks.",只替换摘要后半句，前半句及其独立性、共同视图条件保持原样；按摘要原有精度保留两位小数。用 on the annotated tasks 限定样本，不写实验过程、区间或“补充”。
73,"at the human decisive-operation grain this coverage is only bounded, between $0.06$ and $0.79$,",人工决定性运算粒度的覆盖率只能界定在 0.06–0.79 之间，,人工决定性运算粒度下，标注任务上的覆盖率估计为 0.477，,"at the human decisive-operation grain, coverage is estimated at $0.477$ on the annotated tasks,",仅替换过时的“只能给界”及数值。保留原句答案 0.843 和完整集词法 0.004；此处不新增跨样本比值或三粒度同样本比较，配对比较只放结果段。
90,We call the two measured partitions the \emph{answer grain} and the \emph{lexical grain}.,我们将两种测量的划分称为答案粒度和词法粒度。,我们将这两种划分称为答案粒度和词法粒度。人工决定性运算粒度将归一化答案相同、标注运算相同的回复归为一类。,We call these the \emph{answer grain} and the \emph{lexical grain}. The human decisive-operation grain groups replies with the same normalised answer and the same annotated operation.,保留原定义，只补一条必要的粒度定义。分组共识算法不放问题定义段；不引入 R1b 内部实验编号。
244,"At $n=10$, $f=3$ this gives $[0.06,0.79]$ (outer 95\% limits $[0.02,0.87]$), against $0.843$ at the answer grain and $0.004$ lexically. If humans split every answer class in the same proportion, the coverage is at most $0.23$--$0.55$. Applied to answer equality, the estimator gives $[0.67,0.86]$, which contains the exact $0.843$.","在 n=10、f=3 时，由此得到界 [0.06,0.79]（外侧 95% 界 [0.02,0.87]），对比答案 0.843 和词法 0.004。若每个答案类按相同比例拆分，覆盖率至多为 0.23–0.55。对答案相等应用该估计器得到 [0.67,0.86]，包含精确值 0.843。","在 n=10、f=3 时，直接划分标注得到的覆盖率估计为 0.477（95% 单元 bootstrap 区间 [0.319,0.644]）；在相同标注任务上，答案粒度和词法粒度分别为 0.843 和 0.00142。","At $n=10$, $f=3$, direct partition annotation estimates coverage at $0.477$ (95\% cell-bootstrap interval $[0.319,0.644]$), against $0.843$ at the answer grain and $0.00142$ lexically on the same annotated tasks.",保留前面的数学关系与界的推导，只将末尾旧界及两项估计器检查换成直接结果。旧界和检查已经在附录，正文不必重复。标题 Bounding certification 改为 Certification；Pairwise rates still bound the certificate 保留。这是结果段唯一一次报告区间；区间的条件范围在附录说明。
260,"The decisive-operation grain is bounded, not measured: the $f=3$ coverage interval $[0.06,0.79]$ is wide,","决定性运算粒度只有界、尚未测量：f=3 时的覆盖率区间 [0.06,0.79] 很宽，",决定性运算粒度的估计限于 24 个标注任务；,The decisive-operation estimates are limited to 24 annotated tasks;,只替换已过时的“未测量”及旧宽区间；保留后文原有自动仪器局限和逐对标注一致性数据。另将本段 and the coverage bounds it implies 改为 and the partition-based coverage estimates；routes to measuring it 改为 measurement limitations。不增加 ARI、闭包新增对数等过程诊断。
263,"and at the human decisive-operation grain it is only bounded, between $0.06$ and $0.79$.",而人工决定性运算粒度的覆盖率只能界定在 0.06–0.79 之间。,而人工决定性运算粒度下，标注任务上的覆盖率估计为 0.477。,and at the human decisive-operation grain it is estimated at $0.477$ on the annotated tasks.,只替换结论中的过时短语和数值，保留整个理论结论及其余原句，不再重复实验名称、方法、区间或新的解释。
299,"The honest law is the plug-in multinomial from about $30$ replies; Table~\ref{tab:e5} reports a split-half sensitivity check, which evaluates the class selected on the training half rather than the full-sample empirical mode.",诚实标签律是基于约 30 条回复的代入多项分布；表 e5 给出 split-half 敏感性检查，评估的是训练半样本选出的类别，而非全样本经验众数。,诚实标签律是基于约 30 条回复的代入多项分布；表 e5 给出 split-half 敏感性检查，评估的是训练半样本选出的类别，而非全样本经验众数。,"The honest law is the plug-in multinomial from about $30$ replies; Table~\ref{tab:e5} reports a split-half sensitivity check, which evaluates the class selected on the training half rather than the full-sample empirical mode.",保留原句。这段专门描述原有约 30 条回复的认证模拟，人工划分的方法另置附录，无需在此插入另一实验。
357,"Stronger models converge on \emph{what} to answer, not on how they state \emph{why}.",更强的模型在回答什么上趋同，而不是在如何陈述为什么上趋同。,更强的模型在回答什么上趋同，而不是在如何陈述为什么上趋同。,"Stronger models converge on \emph{what} to answer, not on how they state \emph{why}.",保留原句。原文明确限定 how they state why，讨论的是表达形式，且前文已说明 KEY 是词法粒度。仅更新本次结果不需要重写能力讨论。
484,"they do not recover a partition, $\pmaxx$ or $A(h)$ for $h\ge3$; they do bound certification coverage, as follows.",这些逐对估计不能恢复划分、p_max 或 h≥3 的 A(h)，但能给认证覆盖率提供界，如下所述。,这些逐对估计不能恢复划分、p_max 或 h≥3 的 A(h)，但能给认证覆盖率提供界，如下所述。,"they do not recover a partition, $\pmaxx$ or $A(h)$ for $h\ge3$; they do bound certification coverage, as follows.",保留原句。其主语是逐对估计，不能恢复划分的数学局限仍然成立，不因直接分组结果而改变。
488,"\caption{Designated-mode coverage at $n=3f+1$ ($h=2f+1$) under the human answer+operation relation: bounds from same-model calibration pairs (95\% outer limits in brackets), the homogeneous within-answer-class estimate, and the exact answer-grain value.}",在人工答案加运算关系下 n=3f+1、h=2f+1 的指定众数覆盖率：同模型校准对的界、同质答案内估计与答案粒度精确值。,在人工答案加运算关系下 n=3f+1、h=2f+1 的指定众数覆盖率：同模型校准对的界、同质答案内估计与答案粒度精确值。,"\caption{Designated-mode coverage at $n=3f+1$ ($h=2f+1$) under the human answer+operation relation: bounds from same-model calibration pairs (95\% outer limits in brackets), the homogeneous within-answer-class estimate, and the exact answer-grain value.}",保留原图注与表格数字。这张表报告逐对校准导出的界，不能把其中数字改成直接分组点估计；直接划分结果另列一张表。
513,Two routes could make the decisive-operation grain measurable:,两条路线可能使决定性运算粒度可测：,两条路线可能扩展对决定性运算粒度的测量：,Two routes could extend measurement of the decisive-operation grain:,只把 make ... measurable 改为 extend measurement，保留原文的两条研究方向、解释和引用。无需另写一段未来实验计划。
539,"(1) grain and instrument & answer vs.\ answer+KEY; normaliser, lexical rule, embedding, judges & the same replies give coverage $0.843$ or $0.004$\\",清单第 1 项：粒度及仪器。答案与答案加 KEY；归一化器、词法规则、嵌入与评判模型；遗漏会导致同样回复给出 0.843 或 0.004 的覆盖率。,清单第 1 项：粒度及仪器。答案与答案加 KEY；归一化器、词法规则、嵌入与评判模型；遗漏会导致同样回复给出 0.843 或 0.004 的覆盖率。,"(1) grain and instrument & answer vs.\ answer+KEY; normaliser, lexical rule, embedding, judges & the same replies give coverage $0.843$ or $0.004$\\",保留原行。0.843 与 0.004 是原有完整共同集的同样本比较，仍然有效；报告清单不必罗列所有实验结果。
