cell,benchmark,model,task_id,answer_cov_h7,human_cov_h7,lexical_cov_h7,human_A3,majority_vague,closure_added_pairs
T01,gsm8k,gpt-4.1-nano,gsm_11,0.05852766346593505,0.05852766346593505,2.790816472336533e-08,0.2727272727272727,0,0
T02,gsm8k,gpt-4o-mini,gsm_13,0.543851178260388,0.05852766346593505,2.790816472336533e-08,0.2590909090909091,0,0
T03,gsm8k,gpt-4.1-mini,gsm_40,1.0,0.543851178260388,0.0021803253690129178,0.75,0,2
T04,gsm8k,gpt-4.1-nano,gsm_12,1.0,0.13348388671875,3.5722450845907622e-06,0.38181818181818183,2,1
T05,gsm8k,gpt-4o-mini,gsm_29,1.0,0.0078125,2.790816472336533e-08,0.09090909090909091,3,0
T06,gsm8k,gpt-4.1-mini,gsm_35,1.0,0.2790816472336535,3.5722450845907622e-06,0.5454545454545454,0,0
T07,gsm8k,gpt-4.1-nano,gsm_47,1.0,1.0,6.103515625e-05,1.0,0,0
T08,gsm8k,gpt-4o-mini,gsm_41,1.0,1.0,6.103515625e-05,1.0,0,0
T09,mmlu,gpt-4.1-mini,mmlu_61,0.543851178260388,0.543851178260388,3.5722450845907622e-06,0.75,0,0
T10,mmlu,gpt-4.1-nano,mmlu_82,0.0021803253690129178,0.0021803253690129178,2.790816472336533e-08,0.05,1,0
T11,mmlu,gpt-4o-mini,mmlu_76,0.543851178260388,0.0021803253690129178,3.5722450845907622e-06,0.06363636363636363,1,0
T12,mmlu,gpt-4.1-mini,mmlu_74,1.0,0.543851178260388,6.103515625e-05,0.75,0,0
T13,mmlu,gpt-4.1-nano,mmlu_62,1.0,1.0,0.0078125,1.0,0,0
T14,mmlu,gpt-4o-mini,mmlu_60,1.0,0.0078125,2.790816472336533e-08,0.09090909090909091,6,0
T15,mmlu,gpt-4.1-mini,mmlu_53,1.0,0.543851178260388,6.103515625e-05,0.75,0,0
T16,mmlu,gpt-4.1-nano,mmlu_55,1.0,1.0,0.00045724737082761756,1.0,0,0
T17,mbpp,gpt-4o-mini,mbpp_107,0.543851178260388,0.2790816472336535,2.790816472336533e-08,0.5454545454545454,0,12
T18,mbpp,gpt-4.1-mini,mbpp_100,1.0,1.0,2.790816472336533e-08,1.0,0,10
T19,mbpp,gpt-4.1-nano,mbpp_147,1.0,0.022983573700774473,2.790816472336533e-08,0.16363636363636364,0,2
T20,mbpp,gpt-4o-mini,mbpp_146,1.0,1.0,0.00045724737082761756,1.0,0,0
T21,mbpp,gpt-4.1-mini,mbpp_106,1.0,1.0,3.5722450845907622e-06,1.0,0,0
T22,mbpp,gpt-4.1-nano,mbpp_148,1.0,1.0,0.022983573700774473,1.0,0,0
T23,mbpp,gpt-4o-mini,mbpp_115,1.0,0.13348388671875,2.790816472336533e-08,0.38636363636363635,0,0
T24,mbpp,gpt-4.1-mini,mbpp_113,1.0,0.2790816472336535,2.790816472336533e-08,0.5454545454545454,0,0
